Date,3-026
2018-01-15,331.0
2018-01-16,357.0
2018-01-17,305.0
2018-01-18,274.0
2018-01-19,300.0
2018-01-20,309.0
2018-01-21,351.0
2018-01-22,364.0
2018-01-23,337.0
2018-01-24,262.0
2018-01-25,238.0
2018-01-26,234.0
2018-01-27,257.0
2018-01-28,278.0
2018-01-29,362.0
2018-01-30,386.0
2018-01-31,318.0
2018-02-01,239.0
2018-02-02,362.0
2018-02-03,319.0
2018-02-04,344.0
2018-02-05,382.0
2018-02-06,432.0
2018-02-07,326.0
2018-02-08,390.0
2018-02-09,342.0
2018-02-10,289.0
2018-02-11,359.0
2018-02-12,379.0
2018-02-13,428.0
2018-02-14,421.0
2018-02-15,375.0
2018-02-16,353.0
2018-02-17,334.0
2018-02-18,388.0
2018-02-19,456.0
2018-02-20,499.0
2018-02-21,400.0
2018-02-22,391.0
2018-02-23,414.0
2018-02-24,363.0
2018-02-25,394.0
2018-02-26,483.0
2018-02-27,560.0
2018-02-28,427.0
2018-03-01,302.0
2018-03-02,454.0
2018-03-03,372.0
2018-03-04,408.0
2018-03-05,437.0
2018-03-06,479.0
2018-03-07,436.0
2018-03-08,466.0
2018-03-09,417.0
2018-03-10,456.0
2018-03-11,478.0
2018-03-12,453.0
2018-03-13,584.0
2018-03-14,482.0
2018-03-15,388.0
2018-03-16,461.0
2018-03-17,500.0
2018-03-18,429.0
2018-03-19,480.0
2018-03-20,504.0
2018-03-21,486.0
2018-03-22,477.0
2018-03-23,465.0
2018-03-24,509.0
2018-03-25,480.0
2018-03-26,495.0
2018-03-27,530.0
2018-03-28,480.0
2018-03-29,375.0
2018-03-30,390.0
2018-03-31,326.0
2018-04-01,454.0
2018-04-02,356.0
2018-04-03,355.0
2018-04-04,337.0
2018-04-05,337.0
2018-04-06,317.0
2018-04-07,266.0
2018-04-08,311.0
2018-04-09,304.0
2018-04-10,289.0
2018-04-11,318.0
2018-04-12,340.0
2018-04-13,305.0
2018-04-14,281.0
2018-04-15,233.0
2018-04-16,225.0
2018-04-17,234.0
2018-04-18,310.0
2018-04-19,382.0
2018-04-20,334.0
2018-04-21,303.0
2018-04-22,244.0
2018-04-23,284.0
2018-04-24,315.0
2018-04-25,330.0
2018-04-26,400.0
2018-04-27,341.0
2018-04-28,400.0
2018-04-29,319.0
2018-04-30,249.0
2018-05-01,352.0
2018-05-02,352.0
2018-05-03,358.0
2018-05-04,413.0
2018-05-05,449.0
2018-05-06,417.0
2018-05-07,399.0
2018-05-08,392.0
2018-05-09,401.0
2018-05-10,408.0
2018-05-11,446.0
2018-05-12,481.0
2018-05-13,378.0
2018-05-14,306.0
2018-05-15,302.0
2018-05-16,419.0
2018-05-17,474.0
2018-05-18,525.0
2018-05-19,685.0
2018-05-20,501.0
2018-05-21,658.0
2018-05-22,523.0
2018-05-23,451.0
2018-05-24,460.0
2018-05-25,399.0
2018-05-26,487.0
2018-05-27,403.0
2018-05-28,358.0
2018-05-29,458.0
2018-05-30,495.0
2018-05-31,527.0
2018-06-01,463.0
2018-06-02,608.0
2018-06-03,476.0
2018-06-04,501.0
2018-06-05,465.0
2018-06-06,634.0
2018-06-07,572.0
2018-06-08,699.0
2018-06-09,539.0
2018-06-10,408.0
2018-06-11,396.0
2018-06-12,395.0
2018-06-13,425.0
2018-06-14,431.0
2018-06-15,546.0
2018-06-16,493.0
2018-06-17,465.0
2018-06-18,450.0
2018-06-19,449.0
2018-06-20,552.0
2018-06-21,552.0
2018-06-22,480.0
